instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
65,4,22000,21988,21762.0,21283.8,18593.3,14020.84,9.518059490789045e-83,887.0310867404479
63,2,22000,21097,21014.5,19356.8,17247.0,13979.56,1.9054958283487627e-269,954.5595735203395
66,4,22000,21724,21548.0,19539.4,17737.3,14037.46,1.2062181426794346e-71,1002.6544488513854
63,1,22000,21636,21460.0,21026.4,18913.0,13927.28,1.6027478926409842e-128,1059.8551785168372
64,0,22000,21174,21168.5,20115.6,18398.1,14522.78,5.782068586656045e-191,987.7282844372043
64,1,22000,21316,17680.5,15420.2,14510.8,12131.68,1.522561861408744e-200,1077.0842245099411
64,2,22000,21932,21762.0,21329.4,20239.4,13903.78,1.551142956591727e-100,1044.6405164441485
64,3,22000,21878,21822.5,21116.2,19553.1,14153.92,7.937778853815384e-68,1018.7790491493697
67,4,22000,19985,19941.0,19424.6,18486.2,13649.26,2.7185117157465803e-96,1138.9716103441388
65,1,22000,21921,21668.5,20357.4,18614.9,14070.84,2.106995821751652e-152,1057.0238897152087
65,3,22000,21108,20569.0,18747.2,17229.1,14075.84,2.7279540811394635e-162,941.8280354706974
65,0,22000,21635,21399.0,19345.0,16561.0,12769.3,6.086580659568492e-119,1077.1960349655894
65,2,22000,21910,21778.5,21248.2,19889.5,13897.02,2.232883755547894e-253,1074.7334307555
68,4,22000,21943,21563.5,20524.2,18697.4,14089.66,2.4697698259963476e-244,980.4664278299574
66,0,22000,20480,19831.0,18887.4,17543.4,13759.46,3.0534187458931413e-86,987.6130468192409
66,1,22000,21207,20161.5,19081.2,17886.6,13652.76,8.662906063780327e-96,1115.103145002629
66,3,22000,21614,21592.0,20067.2,17612.9,13207.34,7.987860857243047e-143,1124.8666401276619
69,4,22000,21987,19275.5,16201.4,14711.9,11979.26,1.1141257646685811e-118,1167.0842345754036
66,2,22000,20811,20541.0,19514.8,17751.7,13633.2,3.9108564181189606e-292,1064.2011753825047
67,1,22000,21965,21553.0,21156.2,18755.9,13800.02,1.7305695231754777e-123,1082.500249227672
67,0,22000,21680,21641.5,21171.8,19951.9,14737.68,0.0,940.7533393724162
67,3,22000,20855,20552.5,19710.8,18217.9,14340.38,1.9551439962352557e-193,917.6931271271578
67,2,22000,21911,21828.5,21141.0,19807.4,14394.2,9.652632962907725e-11,1006.4491797561076
70,4,22000,21053,20965.0,20236.8,18992.6,13896.82,1.7167856720094243e-48,1072.6532164727314
68,0,22000,20700,20667.0,19860.2,18079.3,13027.36,8.111390009118791e-142,1132.0132957349472
68,3,22000,21779,20525.0,18683.6,16917.7,13752.54,1.446224409427119e-101,952.4717224536556
68,1,22000,13814,13786.5,13726.2,13562.5,11957.22,1.2414537973548504e-262,1104.3742789217213
69,3,22000,21679,21536.0,20581.2,17856.6,12610.26,4.0987610403684814e-262,1112.6551265915032
68,2,22000,21646,21503.0,21164.2,17960.3,12714.72,1.2528520010086636e-222,1058.4412783481173
69,0,22000,21646,21217.5,20722.8,19355.4,14405.62,4.8032845608760074e-132,985.8812050889053
71,4,22000,21723,21481.0,19490.2,17508.2,12940.04,1.1611931104835686e-149,1180.8751553080444
69,2,22000,21603,21036.5,20434.8,17901.5,13897.04,1.4190752580022015e-214,993.1259873545052
69,1,22000,21426,21376.5,20337.0,17656.5,12859.14,2.4828600802597275e-175,1217.0086779109506
72,4,22000,21504,21295.0,20775.8,19238.0,14277.94,0.0,1017.7037965906272
70,1,22000,20612,20172.5,18984.2,17952.4,13922.72,8.951364574704945e-87,1076.7607374683803
70,0,22000,21229,19644.5,17248.6,15499.8,12472.3,4.430338263636721e-106,1179.5480638552283
70,2,22000,19512,18758.5,18084.4,17315.4,13069.58,1.0660531961357017e-157,1080.7406911320556
70,3,22000,21426,20100.5,18658.4,16578.6,12639.68,2.440078363024941e-146,1112.375705870005
73,4,22000,21944,19369.5,17015.4,15839.7,13512.9,5.816478863081624e-273,1001.3114325958375
71,0,22000,20228,19573.0,17827.0,16147.3,13095.26,5.1240320660549795e-21,943.7770873327718
71,1,22000,21427,20948.5,19865.0,18550.5,14481.14,2.5363333348281953e-219,942.7130698761198
71,3,22000,20667,20513.5,19738.8,18602.4,13425.66,4.477932417328488e-139,1146.2644210141268
74,4,22000,21195,21189.5,18647.6,16422.5,13266.86,3.142407186964521e-92,1045.6078840135701
71,2,22000,21988,21949.0,21466.2,20069.0,14269.44,6.519760359974071e-233,1036.9330410893265
72,0,22000,20183,20089.5,19472.4,17691.7,13326.5,1.1015507664960042e-148,1113.0025820627598
72,1,22000,20789,20739.0,18181.2,16576.5,13823.26,6.230331354631904e-193,923.4321986548597
72,3,22000,21735,21481.5,19772.2,18546.8,13856.3,5.863819814045164e-119,1086.8467229429295
73,1,22000,20733,20562.5,20266.8,19500.4,13947.6,1.7678407272183223e-167,1125.917178331393
72,2,22000,21471,21069.0,20330.6,19760.8,14309.76,7.234180302657823e-227,1127.6668618671356
75,4,22000,19249,19105.5,18437.0,17704.4,14429.88,1.0875965294300492e-122,921.275970526688
73,0,22000,21383,20728.0,18553.0,17151.7,13600.82,0.0,1045.6217238872148
