instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
11,4,0.0,0.0,1.0,22000,21470,21469.5,20579.0,20247.875,12593.1875,1.0106078494866175,2948.2326549750615
10,3,0.2,0.1447333799860042,0.8552666200139958,22000,21293,20749.0,19176.666666666668,16908.0,9855.625,0.502518756756281,1834.7653939901252
10,0,1.0,1.0,0.0,22000,20766,19551.0,17089.333333333332,14949.25,12533.625,0.011781900764383483,1225.1589373288111
10,2,0.5,0.8441728610343485,0.15582713896565142,22000,21053,20134.0,15237.333333333334,14309.5,12560.625,1.5466289664228255e-290,1217.218239370964
12,4,0.0,0.0,1.0,22000,21796,21741.5,21685.0,21386.75,10795.041666666666,0.7419595908797753,3048.3795485001847
13,4,0.0,0.0,1.0,22000,14727,14087.0,12570.666666666666,10824.5,5842.208333333333,0.31268786387200326,2985.853321723556
10,1,0.8,1.0,0.0,22000,18710,17566.0,14595.0,14420.875,13194.8125,9.40911484537568e-135,1177.0293122407509
14,4,0.0,0.0,1.0,22000,18346,17901.0,12380.333333333334,7877.25,4157.363636363636,1.034712791371318,3058.557235295268
11,0,1.0,1.0,0.0,22000,14662,14640.0,14449.333333333334,14274.125,12884.541666666666,1.3065605939672414e-143,1128.324360102074
11,1,0.8,1.0,0.0,22000,21888,20887.5,19318.0,15779.0,12107.708333333334,9.964439112802133e-281,1269.2680001452577
15,4,0.0,0.0,1.0,22000,21690,20441.0,17055.333333333332,11216.625,4644.545454545455,0.7689896714505899,2850.6186895753426
11,3,0.2,0.14289559872582888,0.8571044012741711,22000,20139,19259.0,16947.333333333332,16061.0,9633.875,0.17901171479142772,1912.4311606476863
11,2,0.5,0.7903889377504153,0.20961106224958467,22000,20745,19023.5,15178.0,14209.25,12349.5625,0.21608214176350732,1280.2313644747874
12,0,1.0,1.0,0.0,22000,21988,21531.5,14779.333333333334,14654.75,13251.416666666666,1.3197710041170542e-211,1089.980539761601
12,3,0.2,0.171324945806499,0.828675054193501,22000,21931,21822.0,19848.666666666668,16148.5,10521.479166666666,0.034839394458275955,1646.430495659508
12,1,0.8,1.0,0.0,22000,14244,14216.5,14023.666666666666,13906.5,12586.541666666666,2.73213449693495e-137,1179.6112119024674
13,0,1.0,1.0,0.0,22000,14661,14655.5,14525.333333333334,14325.5,12753.604166666666,6.142851774669293e-237,1107.3299694228067
13,3,0.2,0.14122948551258152,0.8587705144874185,22000,21898,21705.5,21154.0,19936.0,13071.041666666666,0.7925504819990175,1719.4070723365487
12,2,0.5,0.793281480488132,0.20671851951186804,22000,20238,20128.0,17616.666666666668,15420.5,12942.770833333334,2.3582154789535088e-29,1163.9749831201111
16,4,0.0,0.0,1.0,22000,21999,21812.0,21021.0,20060.875,12550.229166666666,0.3027441309568994,2969.2970008684233
13,2,0.5,0.8269238340846901,0.17307616591530997,22000,19842,19567.0,15581.333333333334,14142.625,12029.395833333334,3.4241990515055635e-08,1268.0536888654065
13,1,0.8,1.0,0.0,22000,20954,20585.5,18445.0,17657.125,13518.895833333334,0.0,1138.7495739201909
14,3,0.2,0.16037176808158937,0.8396282319184106,22000,21723,20150.5,18103.0,15470.375,10631.291666666666,0.9865889014454358,1562.1129353688475
14,0,1.0,1.0,0.0,22000,13705,13672.0,13521.333333333334,13297.375,11979.0,1.70392912489945e-129,1248.5060412695868
14,1,0.8,1.0,0.0,22000,21250,20920.0,14918.333333333334,14367.25,12875.791666666666,4.767354044699809e-176,1170.624167749044
14,2,0.5,0.8185353239420251,0.18146467605797495,22000,14211,14172.5,13998.0,13858.5,12529.770833333334,6.250839873763744e-41,1140.0281092627706
15,0,1.0,1.0,0.0,22000,20492,18308.5,14079.0,13906.75,12561.4375,8.813331651566533e-289,1173.7481971661264
15,3,0.2,0.18947330301760484,0.8105266969823951,22000,21008,19253.0,14865.666666666666,12874.25,10691.75,0.11391054875714808,1569.3481008355768
17,4,0.0,0.0,1.0,22000,21930,21772.0,21372.0,19971.5,12025.833333333334,0.9370311058407493,2966.70034667226
15,2,0.5,0.7812823113989739,0.21871768860102617,22000,19095,19018.0,17723.333333333332,15808.5,12553.645833333334,0.021279140569021616,1220.6868365792166
15,1,0.8,1.0,0.0,22000,21217,20980.5,16630.0,15069.875,13034.125,1.9799335861020834e-10,1133.371743063774
18,4,0.0,0.0,1.0,22000,21438,21089.0,19044.0,17387.5,9433.208333333334,0.8089894798743078,2764.93315572941
16,3,0.2,0.1768457198920775,0.8231542801079225,22000,18565,16893.0,12890.333333333334,11978.625,10372.645833333334,0.3814797309069327,1501.1475345497201
16,2,0.5,0.7930457382504086,0.20695426174959144,22000,21603,21405.0,20194.333333333332,17595.375,12559.729166666666,2.129292053326061e-153,1220.3314976071108
16,0,1.0,1.0,0.0,22000,21800,21723.5,20260.666666666668,19020.5,14116.145833333334,5.106559498023852e-96,1143.4483106441903
19,4,0.0,0.0,1.0,22000,21668,21619.0,18796.0,14726.125,5360.0625,0.7504297689620593,2974.134643572153
16,1,0.8,1.0,0.0,22000,20019,19469.0,17309.333333333332,15537.625,13204.5,1.9472350924541885e-117,1089.9848614517962
