instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
52,4,5500,4949,4036.0,3366.8,2794.9,2003.28,3.7442147533994756e-78,151.0
50,0,5500,4355,4184.5,3939.2,3758.7,2779.84,3.461252425682145e-77,59.0
50,1,5500,2991,2842.5,2581.8,2366.2,1832.72,2.625859989580434e-95,131.0
50,3,5500,2859,2446.5,2168.2,2034.0,1621.96,8.826440654632603e-16,124.0
50,2,5500,3640,3590.5,3439.8,3205.5,2089.3,2.1012946139966177e-34,32.0
53,4,5500,4135,3871.0,3171.4,2793.0,2037.32,4.777425377107494e-56,40.0
51,0,5500,4575,4129.5,3398.0,2930.4,2049.84,3.461252425682234e-77,64.0
51,1,5500,4245,4047.0,3325.4,2888.7,2090.12,8.770179130399106e-92,132.0
51,3,5500,2870,2837.0,2691.8,2431.1,1817.06,3.5147793441167195e-76,117.0
51,2,5500,5213,4465.0,3404.6,2907.4,2131.52,1.2280589530014168e-69,27.0
54,4,5500,2265,2259.5,2196.8,2128.6,1819.76,1.0861776869213006e-77,39.0
52,0,5500,4784,3722.5,2832.6,2483.9,1825.36,1.7212527494597569e-47,134.0
52,1,5500,5158,4514.5,3857.8,3227.5,2138.32,3.5691340354625795e-75,47.0
52,3,5500,2826,2732.5,2623.6,2471.8,1767.34,1.1029750011020873e-76,57.0
52,2,5500,4278,4069.0,3563.0,3096.6,2023.7,5.401473513295179e-48,34.0
53,0,5500,3629,3612.5,3413.4,3270.4,2589.04,5.631634585496137e-121,41.0
53,1,5500,4663,3997.5,3285.8,2855.7,1964.46,3.680378139594036e-73,97.0
55,4,5500,4003,3959.0,3622.4,3350.7,2421.4,1.3058051736484968e-65,34.0
53,3,5500,3189,3101.0,3013.0,2931.6,2546.22,1.5350747894828996e-130,81.0
53,2,5500,2397,2358.5,2309.0,2243.0,1826.32,2.322538551275715e-103,95.0
54,0,5500,3266,3134.0,2744.6,2553.2,2058.38,3.85377912075036e-70,110.0
56,4,5500,5301,3838.0,2916.2,2567.5,1979.24,1.172802379986721e-72,114.0
54,1,5500,5444,3992.0,2848.0,2394.8,1762.74,9.75636807062137e-85,127.0
54,2,5500,4190,3651.0,3272.6,3054.8,2081.8,2.879093473855455e-89,110.0
54,3,5500,3288,3255.0,3030.6,2809.5,2000.86,2.3583782708507864e-102,95.0
55,0,5500,2463,2435.5,2359.6,2305.7,1909.52,1.0373050684548612e-80,96.0
57,4,5500,3299,3216.5,2819.4,2554.3,1955.04,1.2663392340030887e-67,11.0
55,3,5500,2804,2743.5,2639.0,2454.2,1867.58,2.707676184375679e-93,126.0
55,1,5500,5279,4806.0,3871.0,3275.9,2365.1,3.973895149330056e-68,83.0
55,2,5500,3244,3128.5,2887.6,2683.0,1968.9,4.9263299575474734e-54,63.0
56,1,5500,2485,2457.5,2408.0,2332.1,1939.14,1.0181417240965237e-99,87.0
56,0,5500,2947,2705.0,2447.6,2295.8,1901.78,3.514779347178176e-76,150.0
58,4,5500,3607,3288.0,2839.2,2593.9,1972.4,4.9263299575474734e-54,83.0
56,3,5500,3354,3304.5,2854.6,2504.8,1895.84,4.161125181617498e-65,138.0
56,2,5500,3849,3596.0,2771.0,2410.2,1744.46,1.8585258613137083e-42,98.0
57,0,5500,2595,2584.0,2383.8,2264.8,1780.58,7.514262409592332e-104,128.0
59,4,5500,2650,2589.5,2423.4,2266.1,1785.2,9.03490039230163e-90,129.0
57,1,5500,4454,3612.5,2988.8,2683.0,1943.16,2.4392859272777556e-100,106.0
57,2,5500,4278,3920.5,3180.2,2819.4,2023.2,5.079875651639709e-52,121.0
60,4,5500,3090,2952.5,2775.4,2483.9,1778.76,4.0977549992004086e-66,127.0
58,3,5500,4608,4129.5,3288.0,2897.4,2066.34,1.0341458833426989e-98,91.0
57,3,5500,2980,2710.5,2427.8,2256.2,1788.76,4.94132202460109e-54,22.0
58,0,5500,4850,4058.0,3378.2,3011.9,2209.76,1.1909393112511465e-71,36.0
58,1,5500,5224,4553.0,3604.8,3224.2,2479.08,5.333053111756255e-125,45.0
58,2,5500,3255,3007.5,2788.6,2635.7,2011.34,6.394770554127312e-37,63.0
59,0,5500,5070,4459.5,3888.6,3565.1,2250.26,1.15494165782261e-73,49.0
61,4,5500,3200,2963.5,2735.8,2565.3,1991.3,3.407663987294167e-80,123.0
59,1,5500,2474,2386.0,2258.4,2131.9,1776.22,3.114455465485748e-90,103.0
59,2,5500,2771,2699.5,2608.2,2504.8,2076.48,2.5056088311657826e-106,83.0
59,3,5500,4982,4795.0,3750.0,2997.6,1957.22,3.737293751707364e-72,74.0
60,0,5500,3629,3409.0,2995.4,2686.3,2130.16,2.6258324503416034e-95,139.0
60,1,5500,2111,2083.5,2042.8,1995.5,1649.02,4.357176555101189e-62,141.0
60,2,5500,3838,3530.0,3266.0,2873.3,1944.0,1.4317498259002425e-59,100.0
60,3,5500,3277,3013.0,2711.6,2501.5,1912.72,9.75545052215153e-85,23.0
62,4,5500,5246,4987.5,3670.8,2849.1,1872.46,1.2105116647396894e-70,113.0
63,4,5500,2958,2930.5,2788.6,2636.7,2135.82,9.906314758610337e-84,113.0
61,0,5500,2320,2309.0,2271.6,2212.1,1877.2,1.4992067053616223e-56,139.0
61,1,5500,4355,4212.0,3875.4,3566.3,2285.22,1.2663392340030887e-67,77.0
61,3,5500,2738,2727.0,2639.0,2541.1,2110.3,1.8505314129118132e-118,49.0
61,2,5500,3959,3744.5,3228.6,2772.0,1911.48,5.002513728445799e-53,30.0
62,0,5500,3596,3502.5,3050.4,2663.2,1943.84,1.8302221891774745e-43,99.0
62,1,5500,4564,4228.5,3200.0,2771.0,2066.38,5.079875651639709e-52,136.0
64,4,5500,4113,3942.5,3523.0,2975.4,2079.58,1.4538912783810071e-58,73.0
62,2,5500,4036,3623.5,3112.0,2758.9,2080.26,3.29703856048458e-98,80.0
65,4,5500,4498,3601.5,2973.4,2663.2,2003.24,1.350729386101392e-63,129.0
62,3,5500,2837,2529.0,2284.8,2122.0,1605.0,1.3884733687741894e-61,133.0
63,0,5500,2925,2826.0,2722.6,2597.2,2177.46,9.755450524817969e-85,121.0
63,1,5500,2771,2562.0,2414.6,2281.5,1842.86,2.7920717630110545e-91,73.0
63,2,5500,2782,2655.5,2454.2,2337.6,1935.48,1.367328172025677e-62,55.0
63,3,5500,2661,2633.5,2568.6,2461.9,2058.86,0.0,0.0
66,4,5500,4377,4245.0,3701.6,3399.1,2362.9,1.0696361806811702e-78,104.0
64,0,5500,3618,3128.5,2612.6,2355.2,1832.06,1.8585258613137083e-42,133.0
64,1,5500,3222,3167.0,2852.4,2469.6,1798.16,4.161125181617605e-65,132.0
64,2,5500,2903,2804.0,2656.6,2535.6,1991.16,3.25517321859862e-81,100.0
64,3,5500,4465,4294.5,4064.4,3345.0,1911.48,4.835323487905389e-73,54.0
65,0,5500,3277,2952.5,2729.2,2578.5,1982.56,8.102869510526175e-121,94.0
67,4,5500,3453,3436.5,3186.8,3029.5,2379.2,3.624329300904861e-74,94.0
65,1,5500,4509,4492.5,3780.8,3319.7,2345.14,1.0861776869212726e-77,19.0
65,3,5500,3299,3073.5,2757.8,2531.2,1871.2,3.5181359757913095e-76,107.0
