instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
18,2,22000,21547,21035.5,19032.0,17082.625,12944.833333333334,2.21242149150831e-184,1040.5032074867802
21,4,22000,20007,19991.0,19487.0,18838.75,13811.104166666666,0.0,1004.4207919820113
19,3,22000,21162,20876.0,20080.333333333332,17884.0,12925.0625,1.6473579925167132e-94,1087.5575504143296
19,0,22000,21250,20997.0,17459.666666666668,15828.875,12847.604166666666,2.7554916887407312e-136,899.3936284208351
19,1,22000,20777,20749.5,20498.666666666668,18665.5,14170.729166666666,2.5407808224415235e-143,885.780065414235
19,2,22000,20921,20821.5,20124.666666666668,17445.625,13677.9375,1.3031756137195443e-213,990.7286568877607
22,4,22000,21493,20217.0,16960.666666666668,16087.5,13611.041666666666,0.0,932.5586623690546
20,0,22000,21558,21173.0,17249.666666666668,15760.0,13536.708333333334,3.831160955306177e-40,920.0353201804338
20,1,22000,20206,20156.5,19740.333333333332,19187.125,14777.125,2.5144640036880396e-144,808.7418024907809
20,2,22000,21910,20942.0,19292.0,17347.875,12415.1875,5.14554578594123e-129,1070.2287300645849
20,3,22000,21273,20860.5,20110.666666666668,19303.75,14521.0625,1.5024472528135513e-100,892.0639884274559
21,0,22000,21504,21498.5,20887.666666666668,19207.5,14001.104166666666,2.426458264321288e-146,963.4594613468056
21,3,22000,21327,21255.5,19699.0,17519.75,13284.583333333334,1.6360539619667765e-54,980.3317798296614
23,4,22000,21800,21530.5,15324.666666666666,15007.625,13174.020833333334,1.2030961010196917e-190,907.699440333963
21,1,22000,18908,18270.0,17348.666666666668,16608.375,12709.145833333334,3.5888012044760904e-228,1087.6531229584461
21,2,22000,21635,21299.5,19761.666666666668,16681.5,12698.479166666666,4.495597185681764e-181,945.0767668963815
24,4,22000,21119,20932.0,19923.666666666668,17432.625,14233.958333333334,2.5344561422698582e-101,826.3492466329268
22,1,22000,20569,20211.0,19025.333333333332,18405.75,13957.5,1.8256494451595745e-121,957.3149601587288
22,3,22000,19435,19325.0,16512.666666666668,14985.5,12661.1875,1.7917714098451358e-14,995.6838094893402
22,0,22000,21702,21355.5,18977.666666666668,18017.0,14638.645833333334,1.868766984753529e-195,797.4463952832648
22,2,22000,19975,18946.0,16989.333333333332,15829.0,13674.708333333334,8.855354068567024e-95,906.7238508797517
25,4,22000,19876,19804.5,17349.666666666668,16216.875,14152.270833333334,1.7096431619620626e-244,926.1567083638565
23,0,22000,21713,21630.5,19179.333333333332,17982.25,14199.104166666666,1.363691619807951e-59,870.6231978961847
23,1,22000,21482,20409.5,15779.333333333334,15640.25,13751.020833333334,2.3461693708409747e-222,923.7257592340897
26,4,22000,20568,20227.0,18148.0,16041.875,12035.229166666666,1.0731400657534653e-157,1116.7498021110255
23,3,22000,21636,18517.5,15146.0,14969.5,13366.041666666666,2.180830007325239e-304,871.8758257758872
23,2,22000,21954,21277.5,19941.0,17529.5,13503.291666666666,1.611138336147095e-55,999.2101450071253
24,0,22000,21075,20612.5,18786.333333333332,16228.75,13311.479166666666,1.0426583579636477e-82,975.9030617623434
24,1,22000,18973,18830.0,18166.666666666668,17339.875,13462.041666666666,1.8675575901953382e-44,974.5357097104516
27,4,22000,21691,21295.0,17378.333333333332,15673.25,12395.416666666666,1.7967269545366113e-199,961.5353632737118
24,3,22000,21030,20783.0,19622.0,18406.625,14269.833333333334,9.23824788984393e-84,974.4068300725831
