instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
36,2,0.5,0.8655046927744932,0.13449530722550684,22000,13177
36,1,0.8,1.0,0.0,22000,13584
36,0,1.0,1.0,0.0,22000,13320
37,3,0.2,0.18499669530733642,0.8150033046926636,22000,9510
37,1,0.8,1.0,0.0,22000,13496
40,4,0.0,0.0,1.0,22000,125
37,0,1.0,1.0,0.0,22000,13496
37,2,0.5,0.9111163817305272,0.08888361826947279,22000,15421
38,0,1.0,1.0,0.0,22000,13595
38,1,0.8,1.0,0.0,22000,13452
38,3,0.2,0.18508958396598846,0.8149104160340115,22000,9151
41,4,0.0,0.0,1.0,22000,6421
39,3,0.2,0.1610960429226232,0.8389039570773767,22000,18479
38,2,0.5,0.8627455719699899,0.13725442803001006,22000,13265
39,0,1.0,1.0,0.0,22000,13551
42,4,0.0,0.0,1.0,22000,20872
39,2,0.5,0.8799382013493028,0.12006179865069717,22000,13419
39,1,0.8,1.0,0.0,22000,13452
40,0,1.0,1.0,0.0,22000,16950
40,3,0.2,0.21524743928499995,0.7847525607150001,22000,10306
43,4,0.0,0.0,1.0,22000,19457
40,2,0.5,0.9201604154701774,0.07983958452982265,22000,13496
40,1,0.8,1.0,0.0,22000,13562
44,4,0.0,0.0,1.0,22000,21238
41,2,0.5,0.8899754437526587,0.11002455624734135,22000,13452
41,1,0.8,1.0,0.0,22000,13408
41,0,1.0,1.0,0.0,22000,13430
41,3,0.2,0.21908200103145953,0.7809179989685405,22000,10922
42,3,0.2,0.1600374439224275,0.8399625560775725,22000,8457
45,4,0.0,0.0,1.0,22000,21851
42,2,0.5,0.9052747592714335,0.09472524072856646,22000,13265
42,1,0.8,1.0,0.0,22000,13463
42,0,1.0,1.0,0.0,22000,13507
43,3,0.2,0.16415945844302368,0.8358405415569763,22000,8370
43,2,0.5,0.9159063076319879,0.08409369236801216,22000,13364
46,4,0.0,0.0,1.0,22000,17444
43,0,1.0,1.0,0.0,22000,13375
43,1,0.8,1.0,0.0,22000,13463
44,3,0.2,0.1645323677470635,0.8354676322529365,22000,8367
44,0,1.0,1.0,0.0,22000,13397
44,1,0.8,1.0,0.0,22000,13430
47,4,0.0,0.0,1.0,22000,109
44,2,0.5,0.9086941003974225,0.09130589960257746,22000,13166
45,0,1.0,1.0,0.0,22000,13529
48,4,0.0,0.0,1.0,22000,20962
45,1,0.8,1.0,0.0,22000,13474
45,3,0.2,0.22904560504874777,0.7709543949512523,22000,11074
45,2,0.5,0.9004611725578158,0.09953882744218423,22000,13144
49,4,0.0,0.0,1.0,22000,19430
46,0,1.0,1.0,0.0,22000,20459
46,3,0.2,0.1600442464995779,0.8399557535004221,22000,8608
46,1,0.8,1.0,0.0,22000,13408
46,2,0.5,0.8516590289459945,0.14834097105400545,22000,13353
47,3,0.2,0.18762028375777648,0.8123797162422235,22000,14342
50,4,0.0,0.0,1.0,22000,16462
47,0,1.0,1.0,0.0,22000,13375
47,2,0.5,0.9049087775023241,0.09509122249767586,22000,13419
47,1,0.8,1.0,0.0,22000,13518
48,3,0.2,0.15294230492542324,0.8470576950745767,22000,14010
51,4,0.0,0.0,1.0,22000,10434
48,2,0.5,0.9126264699490498,0.08737353005095018,22000,14398
48,0,1.0,1.0,0.0,22000,13474
48,1,0.8,1.0,0.0,22000,13364
49,3,0.2,0.1502020999540414,0.8497979000459586,22000,21437
52,4,0.0,0.0,1.0,22000,125
49,0,1.0,1.0,0.0,22000,13848
49,1,0.8,1.0,0.0,22000,13496
49,2,0.5,0.8833968210998531,0.11660317890014696,22000,13166
50,0,1.0,1.0,0.0,22000,13551
53,4,0.0,0.0,1.0,22000,19013
50,1,0.8,1.0,0.0,22000,13463
50,3,0.2,0.21231301283828974,0.7876869871617103,22000,9833
50,2,0.5,0.8919144945471421,0.10808550545285792,22000,13298
51,3,0.2,0.1527868657426685,0.8472131342573315,22000,15861
51,1,0.8,1.0,0.0,22000,13375
54,4,0.0,0.0,1.0,22000,115
51,0,1.0,1.0,0.0,22000,13507
51,2,0.5,0.889042106430476,0.11095789356952407,22000,20987
52,3,0.2,0.15679805417251158,0.8432019458274884,22000,20349
52,0,1.0,1.0,0.0,22000,13452
55,4,0.0,0.0,1.0,22000,21491
52,2,0.5,0.8567367932554721,0.1432632067445278,22000,13188
52,1,0.8,1.0,0.0,22000,13276
53,0,1.0,1.0,0.0,22000,15960
56,4,0.0,0.0,1.0,22000,21939
53,3,0.2,0.15165326341351823,0.8483467365864817,22000,8366
53,2,0.5,0.8306534068986805,0.16934659310131955,22000,13639
53,1,0.8,1.0,0.0,22000,13364
54,3,0.2,0.19291401936575756,0.8070859806342424,22000,21669
57,4,0.0,0.0,1.0,22000,109
54,0,1.0,1.0,0.0,22000,13551
54,2,0.5,0.8763100394462062,0.12368996055379379,22000,13320
54,1,0.8,1.0,0.0,22000,13430
55,0,1.0,1.0,0.0,22000,13760
58,4,0.0,0.0,1.0,22000,21191
55,2,0.5,0.9224998066362441,0.0775001933637559,22000,13419
55,1,0.8,1.0,0.0,22000,13496
55,3,0.2,0.23084232466895538,0.7691576753310446,22000,11350
56,3,0.2,0.16163646213802624,0.8383635378619737,22000,8457
56,1,0.8,1.0,0.0,22000,13287
59,4,0.0,0.0,1.0,22000,119
56,0,1.0,1.0,0.0,22000,13441
56,2,0.5,0.8680195684120968,0.13198043158790315,22000,13287
57,0,1.0,1.0,0.0,22000,13485
60,4,0.0,0.0,1.0,22000,20039
57,1,0.8,1.0,0.0,22000,13584
57,2,0.5,0.9169713352261678,0.08302866477383221,22000,13298
57,3,0.2,0.22896464659015792,0.7710353534098421,22000,11747
61,4,0.0,0.0,1.0,22000,14341
58,0,1.0,1.0,0.0,22000,18116
58,3,0.2,0.1821795405269267,0.8178204594730732,22000,9261
58,1,0.8,1.0,0.0,22000,13452
58,2,0.5,0.8927806609688809,0.10721933903111917,22000,19150
62,4,0.0,0.0,1.0,22000,12297
59,3,0.2,0.15326872140621237,0.8467312785937876,22000,15933
59,0,1.0,1.0,0.0,22000,13683
59,1,0.8,1.0,0.0,22000,13452
59,2,0.5,0.8628690759324786,0.1371309240675213,22000,13100
63,4,0.0,0.0,1.0,22000,13876
60,0,1.0,1.0,0.0,22000,13408
60,3,0.2,0.1803867746624232,0.8196132253375767,22000,15101
60,1,0.8,1.0,0.0,22000,13562
64,4,0.0,0.0,1.0,22000,17453
60,2,0.5,0.8909642864048573,0.1090357135951428,22000,13199
61,0,1.0,1.0,0.0,22000,13617
61,3,0.2,0.2185845832201731,0.781415416779827,22000,10767
61,1,0.8,1.0,0.0,22000,13529
61,2,0.5,0.8699205536493393,0.13007944635066077,22000,13364
62,0,1.0,1.0,0.0,22000,13496
62,1,0.8,1.0,0.0,22000,13408
65,4,0.0,0.0,1.0,22000,20545
63,0,1.0,1.0,0.0,22000,13529
62,3,0.2,0.20753993345288319,0.7924600665471168,22000,10460
62,2,0.5,0.9235039354888495,0.07649606451115055,22000,20525
63,3,0.2,0.1651772047568586,0.8348227952431414,22000,16212
66,4,0.0,0.0,1.0,22000,135
63,1,0.8,1.0,0.0,22000,13419
67,4,0.0,0.0,1.0,22000,18265
63,2,0.5,0.853230079084247,0.14676992091575303,22000,13309
64,3,0.2,0.20811414836757713,0.7918858516324229,22000,20514
64,0,1.0,1.0,0.0,22000,13551
64,1,0.8,1.0,0.0,22000,21669
64,2,0.5,0.8735421187228767,0.12645788127712337,22000,13221
68,4,0.0,0.0,1.0,22000,19926
