instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
27,1,0.8,1.0,0.0,5500,3112
27,2,0.5,0.720884274753546,0.279115725246454,5500,5125
30,4,0.0,0.0,1.0,5500,4971
28,3,0.2,0.13796784133093562,0.8620321586690644,5500,5498
28,0,1.0,1.0,0.0,5500,4883
28,1,0.8,1.0,0.0,5500,4399
28,2,0.5,0.6735184990323865,0.3264815009676135,5500,4267
29,3,0.2,0.1506284969724841,0.8493715030275159,5500,5420
29,0,1.0,1.0,0.0,5500,3002
31,4,0.0,0.0,1.0,5500,5444
29,1,0.8,1.0,0.0,5500,3915
29,2,0.5,0.7638502644004216,0.23614973559957844,5500,5015
32,4,0.0,0.0,1.0,5500,5245
30,0,1.0,1.0,0.0,5500,5356
30,1,0.8,0.9958815748203302,0.004118425179669708,5500,5114
30,3,0.2,0.11882886193801298,0.881171138061987,5500,5136
30,2,0.5,0.7039375538898799,0.2960624461101201,5500,4388
31,1,0.8,1.0,0.0,5500,5059
31,0,1.0,1.0,0.0,5500,2551
31,3,0.2,0.17075829569230166,0.8292417043076983,5500,5157
33,4,0.0,0.0,1.0,5500,5367
31,2,0.5,0.687462461096045,0.312537538903955,5500,2419
34,4,0.0,0.0,1.0,5500,4574
32,0,1.0,1.0,0.0,5500,5147
32,3,0.2,0.12985277111690705,0.8701472288830929,5500,5367
32,2,0.5,0.7856680858984202,0.21433191410157976,5500,5389
32,1,0.8,1.0,0.0,5500,3453
35,4,0.0,0.0,1.0,5500,5497
33,0,1.0,1.0,0.0,5500,3211
33,1,0.8,1.0,0.0,5500,3860
33,3,0.2,0.13023540513657578,0.8697645948634242,5500,5344
33,2,0.5,0.7086244416447143,0.2913755583552858,5500,5433
36,4,0.0,0.0,1.0,5500,5253
34,3,0.2,0.15452115767651722,0.8454788423234828,5500,5178
34,0,1.0,1.0,0.0,5500,4124
35,0,1.0,1.0,0.0,5500,4927
